id;code;name;description;active
1;eek versus during;ouch athwart substantial;and;true
2;enraged oxidise broa;mediocre;mothball;true
3;besides;quadruple;westernize;false
4;segregate once;simplistic sadly;musty lest pulse;true
5;phrase nervous;knowingly chasuble;riser since whenever;true
6;upside-down;pish when provided;knavishly;false
7;needy bleakly;how;edible;true
8;pale;that;making whoa;false
9;damaged as questiona;clamour dependable;unselfish nor;true
10;gloom purple yet;while even;because godparent;false
