id;code;name;management_type;unit;depreciation_enabled;serial_tracking_required;note;active
1;amid tenant siege;disconnection drowse except;DEVICE;yearly disapprove;true;true;thankfully untrue busily;true
2;the agitated;gasp;DEVICE;hovercraft inferior ;true;false;blah;false
3;known off;solder efface spherical;DEVICE;minus;true;false;shyly;true
4;version;drat for institute;CONSUMABLE;qua;true;false;negligible who;false
5;fuzzy coexist;urgently;DEVICE;aha;false;false;ick golden;false
6;until ghost;after unlike woot;CONSUMABLE;bathhouse;true;false;paltry switchboard quantify;false
7;tangible near saw;greedy athletic;DEVICE;concrete finally pro;false;false;failing hydrolyze;false
8;bah;whisper;DEVICE;surface solace despi;true;false;commonly merrily liberalize;true
9;more;ferret unless;DEVICE;congregate;true;false;completion accidentally;true
10;oh;mysteriously;CONSUMABLE;until productive mid;true;false;address;true
