id;code;name;description;active
1;quirkily blah t-shir;into;underneath;true
2;since stark;exactly;boohoo after whereas;true
3;sometimes lest ultim;castanet;against ick unlucky;false
4;shoddy;barge undergo;boohoo pine qua;false
5;emulsify shaft obscu;eek fooey;although;true
6;pro newsstand;round unless;bolster yuck parade;false
7;trial essay;until deer imagineer;oddly tomatillo;true
8;off event gah;boom ew;indeed supposing however;true
9;sleepy;nauseate;fail;false
10;fairly tasty pull;filter;provision ha whoever;false
