id;code;name;description;active
1;eek;stint outside academics;tighten loftily whose;true
2;for;westernise cruelly;signature blight overstay;true
3;suffice without accu;woot however fooey;against;false
4;extroverted an;minister;unless yippee which;false
5;lest twine pish;howl discrete but;brr;false
6;permafrost yogurt;deer;how;false
7;that seemingly tepid;boring as;finer sham owlishly;true
8;psst;far yowza;concerning heartbeat huzzah;false
9;never;woot earnest incinerate;fearless doubtfully interestingly;true
10;horn thump meal;why till geez;phew;true
