id;equipment_code;serial;condition_note;status;purchase_price;capitalization_date;depreciation_months;salvage_value;book_value_snapshot
1;around round;gee best-seller;fatal which;IN_STOCK;31859.93;2026-03-27;11647;23698.49;10030.53
2;punctually;digital knottily superior;hm yowza chairperson;DISPOSED;16929.15;2026-03-27;22655;9595.29;28343.89
3;throughout;manipulate amid;blah rim;UNDER_REPAIR;22732.27;2026-03-28;17199;11239.75;26284.6
4;given;fully;precious;PENDING_RETURN;17474.24;2026-03-28;30120;21866.98;2869.35
5;monthly jungle beyon;abaft;wallaby capitalize;DISPOSED;1467.84;2026-03-27;6698;32337.29;13714.1
6;programme;and;adventurously elevator cow;PENDING_RETURN;29995.72;2026-03-28;4865;4961.24;20514.62
7;chubby;disconnection brr overreact;whereas;UNDER_REPAIR;17702.95;2026-03-28;22086;27269.39;4936.98
8;wry;advocate ouch;outnumber;UNDER_REPAIR;13568.2;2026-03-27;26262;31919.4;28172.96
9;testing oof;gadzooks violently when;cannibalise unto supposing;LOST;19798.41;2026-03-28;6161;21937.39;29481.35
10;fortunately nautical;summary upward;inasmuch vista majestically;BROKEN;24024.5;2026-03-28;4381;21816.24;22913.23
