id;code;request_date;problem_category;description;status;resolution_note
1;keenly;2026-03-27T23:29:13;the;lest always gah;ACCEPTED;ouch stool provided
2;solemnly;2026-03-28T11:28:00;pfft dredger;who secularize up;IN_PROGRESS;huzzah against why
3;as yet weekly;2026-03-28T03:44:08;boohoo incomplete;gleefully yet definite;REJECTED;well-documented phooey scent
4;monthly mothball aro;2026-03-28T06:07:52;victoriously;deer sushi;IN_PROGRESS;hold
5;who er duh;2026-03-28T05:31:06;a late;outgoing when adaptation;COMPLETED;ugh
6;moment uh-huh;2026-03-28T11:58:19;helplessly;limply publicize turbulent;IN_PROGRESS;discourse instead unlike
7;illiterate magnetize;2026-03-27T22:12:14;and;till under;IN_PROGRESS;cycle
8;bank consequently;2026-03-28T06:04:44;fooey even for;bracelet;ACCEPTED;finally for
9;gruesome er modulo;2026-03-28T08:18:03;unknown regarding;spanish;ACCEPTED;yeast indeed nor
10;too;2026-03-27T18:09:54;who spanish blowgun;until gadzooks;REJECTED;ecstatic fund scarily
