id;code;issue_date;status;assignee_type;note
1;afterwards colorful;2026-03-27;CANCELLED;EMPLOYEE;so
2;instead;2026-03-28;DRAFT;DEPARTMENT;howl
3;inferior;2026-03-28;CONFIRMED;EMPLOYEE;blah
4;er heavenly;2026-03-27;CANCELLED;DEPARTMENT;mmm gosh uh-huh
5;nippy;2026-03-27;CONFIRMED;LOCATION;aboard palate
6;smuggle wildly truth;2026-03-27;DRAFT;DEPARTMENT;yummy um
7;midst instead advanc;2026-03-28;CANCELLED;DEPARTMENT;intrepid digitize heating
8;spice;2026-03-27;DRAFT;LOCATION;brr
9;uh-huh jazz mob;2026-03-28;CONFIRMED;LOCATION;freckle impassioned even
10;ditch transom posh;2026-03-28;CANCELLED;DEPARTMENT;oh
