id;code;receipt_date;source;status;note
1;alongside;2026-03-27;RECOVERY;DRAFT;provided membership
2;to retrospectivity p;2026-03-27;RECOVERY;DRAFT;observe
3;flustered so;2026-03-27;RECOVERY;DRAFT;above onto which
4;as;2026-03-28;RECOVERY;CONFIRMED;carefully circa bolster
5;excitedly extension;2026-03-28;RECOVERY;DRAFT;until for
6;snack euphonium rava;2026-03-27;NEW_PURCHASE;CANCELLED;provided yuck psst
7;interchange;2026-03-27;RECOVERY;CONFIRMED;so
8;whose scarily succes;2026-03-27;MANUAL_ADJUSTMENT;CONFIRMED;aha
9;huzzah psst fully;2026-03-27;NEW_PURCHASE;DRAFT;for
10;towards meh gorgeous;2026-03-28;MANUAL_ADJUSTMENT;CANCELLED;for manipulate
